pnr;canton
4;Genève
5;
6;BS
7;
8;FR
9;FR
10;ZH
13;Genève
14;FR
17;
18;Genève
19;BS
20;ZH
21;FR
23;Genève
25;ZH
28;Genève
32;ZH
33;Genève
36;BS
37;
39;ZH
40;ZH
41;Genève
42;BS
43;
44;Genève
45;
47;GE
49;Genève
50;Genève
54;FR
55;BE
56;ZH
57;BS
58;BS
60;ZH
61;BS
62;Genève
64;VD
65;
66;NE
67;VD
69;Genève
71;Genève
72;VD
73;BB
75;BE
77;Genève
79;FR
81;
82;NE
83;BE
84;
85;ZH
86;FR
87;
88;Genève
89;Genève
90;FR
92;ZH
93;BS
94;ZH
95;
97;ZH
99;ZH
100;Genève
106;SG
107;NRW
108;NRW
109;ZH
110;ZH
113;BE
114;SG
116;ZH
117;ZH
118;ZH
119;ZH
120;
121;GR
123;BE
125;Genève
126;VD
127;BS
128;ZH
129;BE
130;
131;BS
132;BE
134;NE
136;
138;
141;SG
143;ZH
144;BE
146;VD
149;BS
150;NE
151;FR
152;Genève
154;BE
155;ZH
158;
160;FR
161;NE
162;SG
164;
166;FR
167;FR
169;BE
170;BS
172;ZH
173;Genève
174;GR
175;ZH
176;Genève
177;BS
178;VD
179;FR
180;BE
182;BE
184;
185;NE
186;BE
187;Genève
188;BE
189;BE
190;Genève
193;
194;BE
196;SG
197;SG
199;Genève
200;Genève
202;Genève
204;NE
207;SG
208;
209;FR
210;Genève
211;
212;FR
216;BE
217;VD
218;FR
219;NE
224;SG
225;
226;Genève
231;
232;SG
234;NE
235;ZH
236;Genève
237;Genève
238;ZH
239;FR
241;BE
244;ZH
245;BS
251;FR
253;SG
254;ZH
255;BE
256;BE
257;BE
258;SG
259;SG
260;ZH
261;SG
263;BS
265;VD
266;SG
271;Genève
275;ZH
277;
278;ZH
279;ZH
281;ZH
283;
284;
285;
286;
287;Genève
289;BS
291;SG
294;FR
295;Genève
298;Genève
300;BE
301;VD
302;BS
303;VD
307;SG
308;VD
311;NE
312;VD
313;
314;BE
318;ZH
319;FR
320;GE
323;VD
325;
327;Genève
328;VD
329;ZH
331;SG
335;ZH
337;BS
338;UR
339;SG
340;VD
342;FR
343;SG
344;
345;Genève
346;Genève
349;BS
350;BS
352;Genève
353;ZH
354;SG
355;ZH
356;Genève
358;ZH
359;Genève
360;VD
361;FR
362;
363;FR
364;BS
365;
366;FR
368;Genève
369;VD
372;
374;Genève
376;BE
378;Genève
381;
384;FR
386;SG
387;FR
392;ZH
393;ZH
394;FR
396;BE
397;Genève
398;BE
402;Genève
403;LU
404;BE
406;Genève
407;
409;Genève
410;ZH
411;ZH
416;ZH
417;Genève
418;ZH
419;
421;BS
422;
423;
424;
425;BS
427;ZH
428;
431;ZH
432;BS
433;
435;SG
436;
438;ZH
439;
443;
444;
445;
448;Genève
449;
451;ZH
452;ZH
453;BS
455;
457;BS
464;BS
466;VD
468;FR
469;BE
470;BE
473;ZH
474;VD
475;
477;VD
478;ZH
479;
480;
481;
482;
483;LU
485;BS
486;FR
488;ZH
489;VD
490;SG
491;FR
492;Genève
494;VD
495;BE
498;FR
499;SG
501;VD
503;FR
504;ZH
505;Genève
507;ZH
508;FR
513;Genève
514;FR
515;BE
517;FR
519;ZH
523;VD
524;SG
528;BS
531;ZH
532;
533;Genève
534;
535;Genève
536;
538;Genève
539;Genève
541;FR
542;
546;FR
547;Genève
548;BS
550;Genève
551;NE
554;ZH
555;Genève
557;FR
558;Piemonte
559;Genève
562;BS
566;
567;BE
569;Genève
570;VD
573;ZH
574;SG
575;Genève
576;VD
577;Genève
579;FR
581;VD
582;ZH
583;
586;
587;
588;
589;
590;FR
593;BS
594;BS
595;NE
597;FR
598;BE
599;ZH
601;Genève
602;BS
603;
604;
605;SG
608;ZH
611;ZH
613;BS
614;BE
615;ZH
616;AR
617;Genève
618;Genève
619;VD
620;BS
621;BE
623;BE
625;Genève
626;GR
628;
629;LU
630;SG
633;Genève
634;FR
637;BS
640;Genève
641;
642;ZH
646;VD
647;NE
649;Genève
650;SG
652;BS
655;VD
656;ZH
660;Genève
668;NE
669;
670;NE
671;ZH
672;ZH
673;BE
674;BE
675;FR
679;ZH
682;BE
683;ZH
684;BS
685;ZH
686;GR
688;ZH
689;ZH
690;BE
692;FR
695;Genève
696;SG
697;BE
698;ZH
699;
700;VD
703;Genève
704;ZH
706;
707;FR
708;AG
709;Genève
711;VD
715;
716;FR
717;Genève
718;BE
719;Genève
722;BS
724;
726;Genève
729;ZH
730;Genève
731;BE
733;BS
734;Genève
735;SG
736;ZH
738;Genève
740;FR
742;NE
743;BS
744;Genève
745;FR
747;ZH
749;FR
750;
753;ZH
754;GR
755;FR
757;FR
758;
759;
760;SG
761;BE
762;
764;
767;BE
770;SG
772;NE
776;BS
778;SG
780;Genève
781;BE
782;ZH
785;Genève
786;FR
787;Genève
788;Genève
789;FR
790;SG
791;ZH
792;Genève
793;BE
794;VD
795;BS
797;
798;BS
802;ZH
803;Genève
805;ZH
808;
811;ZH
812;
814;ZH
815;BE
816;Genève
818;Genève
819;SG
822;Genève
823;BS
825;BS
829;BE
830;
831;ZH
834;
835;
836;
837;
839;
840;ZH
842;NE
844;Genève
845;VD
846;
847;
848;BS
849;ZH
852;ZH
853;BS
854;LU
856;
857;ZH
858;
859;SG
861;
862;Genève
863;Genève
864;Genève
865;FR
866;VD
871;
873;FR
874;BS
875;ZH
876;ZH
877;VD
878;TG
879;BE
880;BE
881;Genève
882;ZH
885;BS
886;Genève
888;VD
889;ZH
890;ZH
891;BE
892;NE
894;
895;VD
896;Genève
897;FR
905;ZH
906;Genève
907;Genève
909;FR
912;Genève
914;FR
919;
920;
921;
922;
924;Genève
925;ZH
926;SG
928;
930;TI
931;Genève
932;
933;BE
935;
936;VD
938;ZH
939;ZH
940;
941;FR
942;ZH
943;ZH
944;Genève
946;BS
947;ZH
949;ZH
950;BE
951;BS
954;BE
957;VD
961;ZH
962;ZH
963;BE
964;TI
965;BS
966;ZH
967;Genève
969;ZH
970;BS
971;Piemonte
972;BE
974;
977;BS
978;FR
985;Genève
988;JU
991;
992;Genève
993;VD
994;NE
1000;ZH
1003;
1004;
1006;ZH
1008;BE
1010;Genève
1012;BS
1014;
1015;
1016;FR
1019;ZH
1021;FR
1022;ZH
1023;BE
1024;ZH
1027;Genève
1029;ZH
1030;
1031;VD
1032;ZH
1033;FR
1034;NE
1035;ZH
1036;BS
1037;FR
1038;FR
1043;NE
1045;ZH
1047;Genève
1048;ZH
1049;VD
1051;Genève
1052;SG
1053;Genève
1054;SG
1058;BS
1059;
1060;Genève
1065;ZH
1066;Genève
1068;
1069;BE
1070;BS
1071;
1073;BS
1074;Genève
1076;Genève
1080;BE
1084;Genève
1085;ZH
1088;ZH
1089;
1090;
1091;
1092;
1093;NE
1094;ZH
1095;VD
1096;
1099;VD
1100;BE
1101;ZH
1103;Genève
1105;ZH
1107;Genève
1110;ZH
1111;Genève
1112;ZH
1113;Genève
1114;Genève
1115;Genève
1116;BE
1117;Genève
1124;VD
1125;Genève
1126;VD
1129;ZH
1133;Genève
1134;BS
1136;BS
1138;Genève
1139;Genève
1144;NRW
1145;BE
1146;BE
1147;BE
1150;ZH
1152;
1153;BS
1155;NE
1157;ZH
1158;FR
1159;SG
1161;Genève
1162;FR
1163;ZH
1166;GR
1168;BE
1169;BE
1171;ZH
1172;ZH
1173;Genève
1175;BE
1178;FR
1179;ZH
1180;BE
1181;FR
1183;ZH
1184;
1187;ZH
1190;
1191;VD
1196;BS
1197;BE
1198;ZH
1199;BE
1200;VD
1201;BS
1205;Genève
1206;
1209;ZH
1210;Genève
1211;ZH
1215;Genève
1217;VD
1218;
1219;SG
1220;ZH
1223;VD
1230;Genève
1231;FR
1232;BE
1234;ZH
1235;
1237;VD
1239;BS
1240;ZH
1241;GR
1242;Genève
1243;ZH
1244;VD
1253;VD
1254;Île-de-France
1256;VD
1259;VD
1260;BE
1261;
1262;Genève
1264;BE
1268;BE
1272;FR
1273;BS
1274;FR
1275;
1276;
1277;
1278;
1279;
1280;Genève
1281;BE
1282;BS
1286;FR
1288;BS
1289;Genève
1291;SG
1292;
1295;GR
1296;ZH
1297;BS
1298;VD
1299;FR
1300;VD
1301;ZH
1303;BE
